,Unnamed: 0,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction,firstIntentionConsistFinalGoal
6,6,model21,3,13,11,13,7,6,"[1307, 1309, 1311, 1312, 1314, 1315, 1317, 1318, 1320, 1321, 1323, 1324, 1325]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [5, 13], [4, 13], [3, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0)]","[11, 7]","[0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 1, 1]",2,8,7,180,7
7,7,model21,3,4,11,4,7,12,"[1307, 1309, 1310, 1312, 1315, 1316, 1317, 1318, 1320, 1322, 1324, 1326]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [8, 5], [9, 5], [10, 5], [11, 5], [11, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",0,8,8,0,8
8,8,model21,3,0,11,0,7,6,"[1307, 1308, 1310, 1313, 1314, 1316, 1317, 1318, 1320, 1322, 1323, 1325]","[(7, 6), [7, 5], [7, 4], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [8, 1], [9, 1], [10, 1], [10, 0], [11, 0]]","[(0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",1,8,6,0,8
9,9,model21,11,4,11,10,5,7,"[1317, 1319, 1322, 1325, 1327, 1329, 1331, 1333, 1335]","[(5, 7), [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [11, 9], [11, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (1, 0), (0, 1)]",[6],"[0, 0, 0, 0, 0, 1, 2, 0, 2]",special,6,6,90,6
0,0,model35,2,4,2,10,8,7,"[1310, 1312, 1314, 1315, 1317, 1319, 1321, 1323, 1324, 1326, 1327]","[(8, 7), [7, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 9], [2, 9], [2, 10]]","[(-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",1,6,6,270,8
1,1,model35,3,12,11,12,7,6,"[1306, 1308, 1310, 1311, 1313, 1315, 1316, 1318, 1319, 1321, 1322, 1324, 1325, 1327]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 8], [7, 9], [7, 10], [7, 11], [6, 11], [5, 11], [6, 11], [5, 11], [4, 11], [4, 12], [3, 12]]","[(0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]","[10, 4]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]",2,8,6,180,8
2,2,model35,5,0,9,0,7,7,"[1317, 1321, 1324, 1327, 1330, 1334, 1337, 1340, 1343]","[(7, 7), [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 0], [6, 0], [5, 0]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,7,0,8
3,3,model35,11,4,11,10,3,7,"[1308, 1310, 1312, 1314, 1315, 1317, 1319, 1320, 1322, 1324, 1325]","[(3, 7), [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [10, 9], [11, 9], [11, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,8,90,8
4,4,model35,12,5,12,9,6,7,"[1315, 1319, 1322, 1325, 1328, 1331, 1333, 1335, 1337, 1338]","[(6, 7), [7, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 8], [12, 9]]","[(1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",1,4,6,90,9
5,5,model35,5,4,9,4,7,12,"[1310, 1311, 1313, 1315, 1316, 1318, 1320, 1321, 1323, 1324, 1326, 1328]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [7, 8], [7, 7], [7, 6], [6, 6], [6, 5], [6, 4], [5, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]","[6, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,4,8,0,12
6,6,model35,10,3,10,11,3,7,"[1307, 1308, 1310, 1312, 1313, 1315, 1317, 1319, 1320, 1322, 1324, 1326, 1327]","[(3, 7), [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [8, 6], [8, 5], [9, 5], [9, 6], [9, 5], [9, 4], [9, 3], [10, 3]]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, 1), (0, -1), (0, -1), (0, -1), (1, 0)]","[1, 9]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0]",2,8,7,90,7
7,7,model35,5,3,5,11,13,7,"[1313, 1314, 1316, 1317, 1319, 1321, 1322, 1324, 1325, 1327, 1328, 1330]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [5, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",0,8,8,270,8
8,8,model35,10,4,10,10,3,7,"[1324, 1330, 1334, 1338, 1341, 1345, 1351, 1355, 1359, 1362]","[(3, 7), [4, 7], [5, 7], [6, 7], [6, 8], [7, 8], [8, 8], [9, 8], [9, 9], [10, 9], [10, 10]]","[(1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,7,90,8
9,9,model35,3,13,11,13,7,6,"[1313, 1320, 1327, 1332, 1338, 1345, 1350, 1353, 1356, 1359, 1362]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12], [9, 12], [10, 12], [10, 13], [11, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 2]",special,8,7,180,7
0,0,model8,5,1,9,1,7,8,"[1310, 1312, 1314, 1316, 1317, 1319, 1321, 1323, 1325, 1326, 1328]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [7, 2], [7, 1], [6, 1], [5, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (-1, 0), (-1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1]",1,4,7,0,8
1,1,model8,5,0,9,0,7,6,"[1310, 1311, 1313, 1315, 1317, 1318, 1320, 1321]","[(7, 6), [6, 6], [6, 5], [5, 5], [5, 4], [5, 3], [5, 2], [5, 1], [5, 0]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[3, 1]","[0, 0, 0, 0, 0, 0, 0, 0]",2,4,6,0,1
2,2,model8,8,3,8,11,1,7,"[1306, 1308, 1309, 1312, 1313, 1315, 1316, 1318, 1319, 1321, 1323]","[(1, 7), [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [8, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,8,7,90,7
3,3,model8,8,4,8,10,2,7,"[1309, 1310, 1312, 1314, 1315, 1317, 1318, 1320, 1321]","[(2, 7), [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [7, 6], [7, 5], [8, 5], [8, 4]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 1, 1, 0, 1]",0,6,6,90,6
4,4,model8,6,3,6,11,14,7,"[1307, 1309, 1311, 1312, 1314, 1315, 1317, 1319, 1320, 1322, 1324, 1326, 1327, 1329]","[(14, 7), [13, 7], [12, 7], [11, 7], [11, 8], [10, 8], [11, 8], [10, 8], [9, 8], [8, 8], [8, 9], [7, 9], [7, 10], [7, 11], [6, 11]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0)]","[6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0]",2,8,8,270,10
5,5,model8,4,8,10,8,7,1,"[1306, 1307, 1310, 1311, 1313, 1315, 1317, 1319, 1321, 1322]","[(7, 1), [7, 2], [7, 3], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7], [9, 7], [9, 8], [10, 8]]","[(0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,7,180,8
6,6,model8,3,4,3,10,11,7,"[1307, 1310, 1312, 1314, 1316, 1317, 1319, 1321, 1323, 1325, 1327, 1329, 1331]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [4, 6], [5, 6], [4, 6], [4, 5], [3, 5], [3, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1,6,8,270,8
7,7,model8,5,10,9,10,7,2,"[1306, 1308, 1309, 1311, 1313, 1314, 1316, 1317, 1319, 1321]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [8, 10], [9, 10]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,8,180,9
8,8,model8,8,3,8,11,14,7,"[1309, 1310, 1312, 1314, 1315, 1317, 1318, 1320, 1322, 1324, 1325, 1327]","[(14, 7), [13, 7], [12, 7], [11, 7], [10, 7], [9, 7], [9, 8], [9, 9], [9, 8], [9, 9], [8, 9], [8, 10], [8, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, -1), (0, 1), (-1, 0), (0, 1), (0, 1)]","[8, 10]","[0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2]",2,8,6,270,6
9,9,model8,3,4,3,10,11,7,"[1306, 1308, 1310, 1312, 1313, 1315, 1316, 1318, 1320, 1322, 1323]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [4, 8], [4, 9], [3, 9], [3, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0), (0, 1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",special,6,8,270,8
0,0,model9,4,6,10,6,7,14,"[1307, 1309, 1312, 1314, 1317, 1319, 1321, 1324, 1327, 1329, 1331]","[(7, 14), [6, 14], [6, 13], [6, 12], [6, 11], [6, 10], [6, 9], [6, 8], [6, 7], [5, 7], [5, 6], [4, 6]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,6,8,0,9
1,1,model9,6,4,6,10,13,7,"[1307, 1309, 1310, 1312, 1313, 1315, 1317, 1318, 1320, 1322]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [8, 8], [7, 8], [7, 9], [6, 9], [6, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1)]",[6],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,7,270,8
2,2,model9,8,3,8,11,2,7,"[1309, 1311, 1314, 1315, 1317, 1318, 1320, 1323, 1325, 1327, 1329, 1331]","[(2, 7), [3, 7], [4, 7], [5, 7], [6, 7], [7, 7], [7, 8], [7, 9], [6, 9], [7, 9], [7, 10], [7, 11], [8, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (-1, 0), (1, 0), (0, 1), (0, 1), (1, 0)]",[8],"[0, 0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 0]",1,8,6,90,6
3,3,model9,13,4,13,10,7,7,"[1311, 1315, 1319, 1323, 1326, 1331, 1335, 1340, 1344, 1349, 1352]","[(7, 7), [6, 7], [7, 7], [8, 7], [9, 7], [9, 8], [10, 8], [11, 8], [12, 8], [12, 9], [13, 9], [13, 10]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1)]","[1, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",2,6,6,90,9
4,4,model9,13,3,13,11,5,7,"[1309, 1311, 1315, 1318, 1321, 1324, 1327, 1330, 1334, 1336, 1339, 1342]","[(5, 7), [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [11, 6], [11, 5], [12, 5], [12, 4], [13, 4], [13, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1)]",[6],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1,8,8,90,8
5,5,model9,6,5,6,9,14,7,"[1309, 1311, 1312, 1314, 1316, 1318, 1319, 1321, 1322, 1324]","[(14, 7), [13, 7], [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 8], [6, 9]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,8,270,9
6,6,model9,5,12,9,12,7,5,"[1314, 1318, 1322, 1325, 1330, 1333, 1337, 1341, 1345]","[(7, 5), [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [6, 12], [5, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,7,180,8
7,7,model9,13,5,13,9,7,7,"[1318, 1324, 1330, 1341, 1345, 1348, 1351, 1355, 1357, 1359, 1362, 1364]","[(7, 7), [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [11, 7], [12, 7], [13, 7], [13, 8], [13, 9]]","[(-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]","[8, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",2,4,6,90,11
8,8,model9,3,12,11,12,7,5,"[1311, 1314, 1317, 1321, 1324, 1328, 1331, 1334, 1337, 1340, 1344, 1348, 1351]","[(7, 5), [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [6, 11], [5, 11], [4, 11], [5, 11], [4, 11], [4, 12], [3, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (0, 1), (-1, 0)]",[10],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1]",1,8,7,180,7
9,9,model9,11,3,11,11,4,7,"[1313, 1316, 1319, 1322, 1325, 1328, 1333, 1336, 1340, 1343, 1346]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [10, 5], [10, 4], [11, 4], [11, 3]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, -1), (0, -1), (1, 0), (0, -1)]",[7],"[0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1]",special,8,7,90,7
0,0,model34,3,2,11,2,7,8,"[1310, 1313, 1316, 1318, 1321, 1323, 1327, 1329, 1338, 1340]","[(7, 8), [8, 8], [8, 7], [8, 6], [8, 5], [8, 4], [9, 4], [9, 3], [10, 3], [10, 2], [11, 2]]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0)]",[1],"[0, 0, 0, 0, 0, 2, 0, 2, 0, 2]",1,8,6,0,6
1,1,model34,3,4,11,4,7,12,"[1310, 1312, 1314, 1315, 1317, 1318, 1321, 1322, 1324, 1325, 1327, 1330, 1332, 1334, 1336, 1337]","[(7, 12), [7, 11], [7, 10], [7, 9], [7, 10], [7, 9], [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [8, 5], [9, 5], [10, 5], [11, 5], [11, 4]]","[(0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[4, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",2,8,8,0,12
2,2,model34,4,1,10,1,7,9,"[1306, 1308, 1309, 1311, 1313, 1314, 1316, 1318, 1319, 1321, 1323]","[(7, 9), [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [6, 2], [5, 2], [5, 1], [4, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",0,6,8,0,8
3,3,model34,4,7,10,7,7,13,"[1323, 1329, 1335, 1341, 1347, 1353, 1359, 1367, 1373]","[(7, 13), [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [8, 8], [9, 8], [9, 7], [10, 7]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0)]",[6],"[0, 0, 0, 0, 0, 1, 2, 0, 2]",1,6,6,0,6
4,4,model34,5,13,9,13,7,6,"[1309, 1312, 1315, 1319, 1322, 1325, 1329, 1332, 1335]","[(7, 6), [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [8, 13], [9, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2]",0,4,7,180,8
5,5,model34,3,1,11,1,7,8,"[1307, 1309, 1311, 1313, 1315, 1317, 1319, 1320, 1322, 1324, 1326, 1328, 1330]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 6], [7, 5], [6, 5], [6, 4], [6, 3], [5, 3], [5, 2], [4, 2], [4, 1], [3, 1]]","[(0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]","[6, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",2,8,7,0,9
6,6,model34,5,2,9,2,7,8,"[1306, 1308, 1310, 1312, 1314, 1316, 1317, 1318, 1320, 1322]","[(7, 8), [7, 9], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [6, 4], [6, 3], [6, 2], [5, 2]]","[(0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]","[1, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,4,6,0,10
7,7,model34,5,12,9,12,7,4,"[1319, 1324, 1331, 1336, 1340, 1345, 1349, 1353, 1359, 1363]","[(7, 4), [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [6, 12], [5, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",0,4,8,180,9
8,8,model34,4,6,10,6,7,13,"[1321, 1328, 1334, 1342, 1348, 1354, 1360, 1363, 1366, 1370, 1374, 1377]","[(7, 13), [7, 12], [7, 11], [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [7, 7], [6, 7], [5, 7], [5, 6], [4, 6]]","[(0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1,6,7,0,9
9,9,model34,3,13,11,13,7,5,"[1311, 1315, 1318, 1321, 1324, 1327, 1331, 1334, 1338, 1341, 1344, 1347]","[(7, 5), [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12], [9, 12], [10, 12], [10, 13], [11, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 2]",special,8,8,180,8
0,0,model20,4,4,4,10,10,7,"[1308, 1310, 1311, 1312, 1313, 1314, 1316, 1317, 1318]","[(10, 7), [10, 6], [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [5, 5], [4, 5], [4, 4]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]",[1],"[0, 0, 0, 0, 0, 0, 1, 0, 1]",1,6,6,270,7
1,1,model20,9,3,9,11,1,7,"[1311, 1313, 1315, 1318, 1320, 1324, 1327, 1329, 1331, 1334, 1336, 1339]","[(1, 7), [2, 7], [3, 7], [4, 7], [5, 7], [6, 7], [6, 8], [7, 8], [7, 9], [7, 10], [8, 10], [8, 11], [9, 11]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]","[9, 6]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0]",2,8,8,90,8
2,2,model20,5,13,9,13,7,7,"[1311, 1314, 1317, 1319, 1322, 1326, 1330, 1332]","[(7, 7), [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [6, 13], [5, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 1, 1]",0,4,6,180,7
3,3,model20,4,4,4,10,12,7,"[1309, 1310, 1311, 1312, 1314, 1315, 1316, 1317, 1318, 1320, 1322]","[(12, 7), [11, 7], [10, 7], [10, 8], [9, 8], [8, 8], [7, 8], [6, 8], [5, 8], [5, 9], [4, 9], [4, 10]]","[(-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,8,270,9
4,4,model20,3,7,11,7,7,13,"[1308, 1309, 1311, 1312, 1313, 1315, 1316, 1317, 1319, 1320, 1321, 1322]","[(7, 13), [7, 12], [7, 11], [7, 10], [7, 9], [7, 8], [6, 8], [5, 8], [4, 8], [5, 8], [4, 8], [3, 8], [3, 7]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, -1)]",[9],"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",1,8,6,0,6
5,5,model20,4,5,10,5,7,12,"[1307, 1308, 1309, 1310, 1312, 1314, 1315, 1316, 1318, 1319]","[(7, 12), [8, 12], [8, 11], [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [9, 6], [9, 5], [10, 5]]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",1,6,7,0,8
6,6,model20,4,3,4,11,11,7,"[1307, 1309, 1310, 1312, 1313, 1314, 1315, 1317, 1318, 1320, 1321]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",0,8,7,270,7
7,7,model20,14,5,14,9,6,7,"[1310, 1311, 1312, 1313, 1314, 1315, 1317, 1319, 1320, 1322, 1323, 1324]","[(6, 7), [7, 7], [8, 7], [9, 7], [9, 8], [10, 8], [11, 8], [11, 7], [12, 7], [13, 7], [14, 7], [14, 8], [14, 9]]","[(1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]","[7, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2]",2,4,8,90,11
8,8,model20,5,4,9,4,7,11,"[1307, 1309, 1311, 1312, 1314, 1316, 1318, 1320, 1322]","[(7, 11), [7, 10], [7, 9], [7, 8], [7, 7], [7, 6], [6, 6], [6, 5], [6, 4], [5, 4]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 1]",1,4,7,0,9
